x,y,z,T
2,17,21,29.1
2,16,21,29.4
2,15,21,29.2
2,14,21,29.1
2,13,21,29.3
2,12,21,29.9
2,11,21,29.5
2,10,21,29.2
2,9,21,29.1
2,8,21,29.2
2,7,21,29
3,17,21,31.7
3,16,21,31.9
3,15,21,32
3,14,21,31.4
3,13,21,30.7
3,12,21,32.4
3,11,21,32.1
3,10,21,32.1
3,9,21,32.5
3,8,21,31.7
3,7,21,32.3
4,17,21,30.7
4,16,21,30.6
4,15,21,30.4
4,14,21,31.1
4,13,21,31.6
4,12,21,31.3
4,11,21,30.8
4,10,21,31.9
4,9,21,31.9
4,8,21,31.7
4,7,21,32.2
5,17,21,30
5,16,21,31.2
5,15,21,31.6
5,14,21,32.6
5,13,21,34.4
5,12,21,36.1
5,11,21,43.3
5,10,21,40
5,9,21,38.6
5,8,21,35.4
5,7,21,35.8
6,17,21,32.9
6,16,21,32.6
6,15,21,32.9
6,14,21,33.9
6,13,21,34.1
6,12,21,33.5
6,11,21,42.1
6,10,21,40.9
6,9,21,40.2
6,8,21,36.9
6,7,21,36
7,17,21,31.4
7,16,21,30.7
7,15,21,32.8
7,14,21,40.2
7,13,21,41.9
7,12,21,46
7,11,21,45
7,10,21,40.8
7,9,21,37
7,8,21,34.8
7,7,21,33.5
8,17,21,31.7
8,16,21,33.9
8,15,21,34.4
8,14,21,43.9
8,13,21,49.5
8,12,21,49.5
8,11,21,43.2
8,10,21,35.1
8,9,21,33.4
8,8,21,33.4
8,7,21,33.3
9,17,21,30.5
9,16,21,33.6
9,15,21,33.3
9,14,21,37
9,13,21,41.3
9,12,21,40.2
9,11,21,36.3
9,10,21,36
9,9,21,34.7
9,8,21,34.6
9,7,21,34.2
10,17,21,33.6
10,16,21,30.4
10,15,21,33.9
10,14,21,34.9
10,13,21,35
10,12,21,34.5
10,11,21,33.5
10,10,21,33.8
10,9,21,34
10,8,21,33.3
10,7,21,34.1
11,17,21,32.4
11,16,21,33
11,15,21,33.5
11,14,21,33.5
11,13,21,32.6
11,12,21,33.1
11,11,21,33.7
11,10,21,33.8
11,9,21,32.5
11,8,21,33.3
11,7,21,33.1
12,17,21,33.2
12,16,21,33.5
12,15,21,33.5
12,14,21,32.1
12,13,21,31.5
12,12,21,31
12,11,21,31.5
12,10,21,32.8
12,9,21,33.2
12,8,21,33.1
12,7,21,33.6
