x,y,z,T
1,18.5,20.5,30.4
1,17.5,20.5,30.6
1,16.5,20.5,32.9
1,15.5,20.5,31.8
1,14.5,20.5,32.3
1,13.5,20.5,31.7
1,12.5,20.5,33
1,11.5,20.5,33.7
1,10.5,20.5,34.8
1,9.5,20.5,34.4
1,8.5,20.5,41.7
2,18.5,20.5,29.9
2,17.5,20.5,30.4
2,16.5,20.5,32.2
2,15.5,20.5,33.5
2,14.5,20.5,34.1
2,13.5,20.5,33.3
2,12.5,20.5,33.1
2,11.5,20.5,32.9
2,10.5,20.5,34.5
2,9.5,20.5,37.8
2,8.5,20.5,38.7
3,18.5,20.5,30.9
3,17.5,20.5,32.1
3,16.5,20.5,32
3,15.5,20.5,34.3
3,14.5,20.5,37.7
3,13.5,20.5,37.3
3,12.5,20.5,40.7
3,11.5,20.5,42.7
3,10.5,20.5,52.2
3,9.5,20.5,53.9
3,8.5,20.5,50.8
4,18.5,20.5,35.7
4,17.5,20.5,37.8
4,16.5,20.5,37
4,15.5,20.5,48.3
4,14.5,20.5,55.7
4,13.5,20.5,57.1
4,12.5,20.5,55.2
4,11.5,20.5,67
4,10.5,20.5,70.2
4,9.5,20.5,67.5
4,8.5,20.5,61
5,18.5,20.5,33.2
5,17.5,20.5,34.1
5,16.5,20.5,38.1
5,15.5,20.5,48.4
5,14.5,20.5,62.5
5,13.5,20.5,68.1
5,12.5,20.5,67.1
5,11.5,20.5,71.3
5,10.5,20.5,67
5,9.5,20.5,63.1
5,8.5,20.5,58.8
6,18.5,20.5,66.1
6,17.5,20.5,67.1
6,16.5,20.5,67.8
6,15.5,20.5,68.2
6,14.5,20.5,68.3
6,13.5,20.5,68
6,12.5,20.5,70
6,11.5,20.5,71.1
6,10.5,20.5,71.9
6,9.5,20.5,71.8
6,8.5,20.5,71.3
7,18.5,20.5,35.7
7,17.5,20.5,65.1
7,16.5,20.5,66.2
7,15.5,20.5,66.8
7,14.5,20.5,66.7
7,13.5,20.5,66
7,12.5,20.5,65.5
7,11.5,20.5,65.3
7,10.5,20.5,65.6
7,9.5,20.5,66
7,8.5,20.5,67
8,18.5,20.5,34.5
8,17.5,20.5,34.5
8,16.5,20.5,34.4
8,15.5,20.5,34.8
8,14.5,20.5,35.7
8,13.5,20.5,37.9
8,12.5,20.5,38.6
8,11.5,20.5,39
8,10.5,20.5,39.6
8,9.5,20.5,39.9
8,8.5,20.5,40.3
9,18.5,20.5,35.1
9,17.5,20.5,35.8
9,16.5,20.5,40.9
9,15.5,20.5,41
9,14.5,20.5,41.1
9,13.5,20.5,41.2
9,12.5,20.5,41.3
9,11.5,20.5,41.4
9,10.5,20.5,41.5
9,9.5,20.5,41.5
9,8.5,20.5,41.4
10,18.5,20.5,33
10,17.5,20.5,32.7
10,16.5,20.5,32.9
10,15.5,20.5,32.9
10,14.5,20.5,33
10,13.5,20.5,33.1
10,12.5,20.5,33.3
10,11.5,20.5,33.5
10,10.5,20.5,33.7
10,9.5,20.5,34
10,8.5,20.5,34.3
11,18.5,20.5,34.2
11,17.5,20.5,34.3
11,16.5,20.5,34.5
11,15.5,20.5,34.6
11,14.5,20.5,34.7
11,13.5,20.5,34.8
11,12.5,20.5,34.8
11,11.5,20.5,34.9
11,10.5,20.5,34.8
11,9.5,20.5,34.8
11,8.5,20.5,34.7
