x,y,z,T
2,16,21,27.8
2,15,21,28
2,14,21,29.2
2,13,21,30.2
2,12,21,30
2,11,21,30
2,10,21,29.7
2,9,21,29.4
2,8,21,29.3
2,7,21,29.1
2,6,21,29.6
3,16,21,28.2
3,15,21,28.9
3,14,21,29.1
3,13,21,30
3,12,21,29.3
3,11,21,30.4
3,10,21,29.7
3,9,21,30.6
3,8,21,30
3,7,21,33.1
3,6,21,35.3
4,16,21,31.6
4,15,21,31.4
4,14,21,29.4
4,13,21,29.4
4,12,21,29.7
4,11,21,31
4,10,21,33.1
4,9,21,36.1
4,8,21,38
4,7,21,40
4,6,21,45
5,16,21,28.2
5,15,21,29.1
5,14,21,31.4
5,13,21,30.2
5,12,21,30.9
5,11,21,31.1
5,10,21,33
5,9,21,35
5,8,21,43.3
5,7,21,56.1
5,6,21,57
6,16,21,33
6,15,21,30.5
6,14,21,30
6,13,21,30.4
6,12,21,31.3
6,11,21,31.7
6,10,21,33.2
6,9,21,42.7
6,8,21,63.1
6,7,21,64.85
6,6,21,65.2
7,16,21,30
7,15,21,29.8
7,14,21,34.3
7,13,21,42.2
7,12,21,51.2
7,11,21,51
7,10,21,55.5
7,9,21,70.7
7,8,21,69.5
7,7,21,67.7
7,6,21,64.5
8,16,21,29
8,15,21,30.5
8,14,21,35.7
8,13,21,42
8,12,21,62.2
8,11,21,76
8,10,21,83
8,9,21,76.9
8,8,21,65.6
8,7,21,60.4
8,6,21,58.6
9,16,21,31.9
9,15,21,31.8
9,14,21,33.5
9,13,21,40
9,12,21,63
9,11,21,71.5
9,10,21,65
9,9,21,56.1
9,8,21,51.7
9,7,21,49.5
9,6,21,48.1
10,16,21,29.2
10,15,21,28.2
10,14,21,29.4
10,13,21,33
10,12,21,43
10,11,21,42.5
10,10,21,39.1
10,9,21,41.4
10,8,21,41.4
10,7,21,41
10,6,21,44.6
11,16,21,29.3
11,15,21,30.2
11,14,21,29.5
11,13,21,29.9
11,12,21,30.8
11,11,21,31.9
11,10,21,32.8
11,9,21,35
11,8,21,33.3
11,7,21,34.4
11,6,21,33
12,16,21,28
12,15,21,30.1
12,14,21,30.5
12,13,21,30.3
12,12,21,30
12,11,21,32.5
12,10,21,33.1
12,9,21,33.3
12,8,21,33.5
12,7,21,34.3
12,6,21,32
