x,y,z,T
2.5,16,19,31.3
2.5,15,19,30.8
2.5,14,19,33.1
2.5,13,19,31
2.5,12,19,30
2.5,11,19,29.5
2.5,10,19,30.6
2.5,9,19,31
2.5,8,19,34
2.5,7,19,40.8
2.5,6,19,43.3
3.5,16,19,27.6
3.5,15,19,29.4
3.5,14,19,28.7
3.5,13,19,30.7
3.5,12,19,29.2
3.5,11,19,31.4
3.5,10,19,31.2
3.5,9,19,33.5
3.5,8,19,38.4
3.5,7,19,39.95
3.5,6,19,47.825
4.5,16,19,27.4
4.5,15,19,29.1
4.5,14,19,31.1
4.5,13,19,29.1
4.5,12,19,29.35
4.5,11,19,29.9
4.5,10,19,34.4
4.5,9,19,39
4.5,8,19,44.55
4.5,7,19,53.6
4.5,6,19,53.4
5.5,16,19,31.5
5.5,15,19,28.7
5.5,14,19,28.8
5.5,13,19,31.7
5.5,12,19,30.4
5.5,11,19,32
5.5,10,19,31
5.5,9,19,39.95
5.5,8,19,44.5
5.5,7,19,56.8
5.5,6,19,59.6
6.5,16,19,30.5
6.5,15,19,28.5
6.5,14,19,28.9
6.5,13,19,27.8
6.5,12,19,30
6.5,11,19,31.8
6.5,10,19,35.55
6.5,9,19,50.9
6.5,8,19,61.2
6.5,7,19,63.5
6.5,6,19,63.6
7.5,16,19,27
7.5,15,19,26.5
7.5,14,19,26.6
7.5,13,19,29.1
7.5,12,19,31
7.5,11,19,35.8
7.5,10,19,33.8
7.5,9,19,46.4
7.5,8,19,55
7.5,7,19,56.6
7.5,6,19,55.85
8.5,16,19,26.7
8.5,15,19,26.4
8.5,14,19,26.1
8.5,13,19,27
8.5,12,19,27.1
8.5,11,19,32.4
8.5,10,19,44
8.5,9,19,56.6
8.5,8,19,58.65
8.5,7,19,58.2
8.5,6,19,60.8
9.5,16,19,28.5
9.5,15,19,28.8
9.5,14,19,28.3
9.5,13,19,28.2
9.5,12,19,30
9.5,11,19,36.5
9.5,10,19,45.25
9.5,9,19,48
9.5,8,19,50.2
9.5,7,19,49.3
9.5,6,19,51.6
10.5,16,19,29.1
10.5,15,19,28.4
10.5,14,19,30.9
10.5,13,19,28.4
10.5,12,19,29.4
10.5,11,19,31.4
10.5,10,19,34.8
10.5,9,19,35.3
10.5,8,19,39.3
10.5,7,19,38.6
10.5,6,19,42
11.5,16,19,28.8
11.5,15,19,28
11.5,14,19,30.7
11.5,13,19,30
11.5,12,19,29.9
11.5,11,19,31.6
11.5,10,19,33.7
11.5,9,19,34.5
11.5,8,19,39
11.5,7,19,39
11.5,6,19,40.2
12.5,16,19,28.1
12.5,15,19,27.7
12.5,14,19,27.8
12.5,13,19,29.5
12.5,12,19,27.9
12.5,11,19,26.9
12.5,10,19,29.9
12.5,9,19,32.2
12.5,8,19,34.4
12.5,7,19,35
12.5,6,19,36.9
