x,y,z,T
3,16.5,21,36.3
3,15.5,21,35.6
3,14.5,21,37.8
3,13.5,21,40.4
3,12.5,21,45.7
3,11.5,21,46.9
3,10.5,21,45.3
3,9.5,21,46.7
3,8.5,21,46
3,7.5,21,47.2
3,6.5,21,46.2
4,16.5,21,37.8
4,15.5,21,37
4,14.5,21,33.9
4,13.5,21,36.3
4,12.5,21,43
4,11.5,21,45.3
4,10.5,21,44.9
4,9.5,21,45.95
4,8.5,21,45.75
4,7.5,21,48.2
4,6.5,21,48.9
5,16.5,21,34.3
5,15.5,21,35.6
5,14.5,21,38.5
5,13.5,21,42.05
5,12.5,21,43.5
5,11.5,21,48.6
5,10.5,21,56.35
5,9.5,21,58.8
5,8.5,21,58.4
5,7.5,21,61.4
5,6.5,21,58.57
6,16.5,21,37.7
6,15.5,21,40.45
6,14.5,21,40.95
6,13.5,21,40.75
6,12.5,21,47.35
6,11.5,21,56.4
6,10.5,21,70.45
6,9.5,21,75.4
6,8.5,21,80.5
6,7.5,21,81.8
6,6.5,21,79.5
7,16.5,21,40.7
7,15.5,21,40.1
7,14.5,21,41.97
7,13.5,21,51.6
7,12.5,21,85.85
7,11.5,21,115.4
7,10.5,21,130.55
7,9.5,21,128.95
7,8.5,21,123
7,7.5,21,113.7
7,6.5,21,103.3
8,16.5,21,39.6
8,15.5,21,38.8
8,14.5,21,40.9
8,13.5,21,49.15
8,12.5,21,91.65
8,11.5,21,131.1
8,10.5,21,145.8
8,9.5,21,154.85
8,8.5,21,148.1
8,7.5,21,131.4
8,6.5,21,123.3
9,16.5,21,39.1
9,15.5,21,37.3
9,14.5,21,46.8
9,13.5,21,66.75
9,12.5,21,124.5
9,11.5,21,82.55
9,10.5,21,160.8
9,9.5,21,157.05
9,8.5,21,150.7
9,7.5,21,139.3
9,6.5,21,124.3
10,16.5,21,38.4
10,15.5,21,37.45
10,14.5,21,41.15
10,13.5,21,56.35
10,12.5,21,103.6
10,11.5,21,137.15
10,10.5,21,147.7
10,9.5,21,144.1
10,8.5,21,138.2
10,7.5,21,133.8
10,6.5,21,122.2
11,16.5,21,38.55
11,15.5,21,40.1
11,14.5,21,40.6
11,13.5,21,65.8
11,12.5,21,103.35
11,11.5,21,119.55
11,10.5,21,116.6
11,9.5,21,110.25
11,8.5,21,106.5
11,7.5,21,108.55
11,6.5,21,109.85
12,16.5,21,36.5
12,15.5,21,37.4
12,14.5,21,39
12,13.5,21,45.1
12,12.5,21,51.5
12,11.5,21,50.35
12,10.5,21,70.8
12,9.5,21,73.05
12,8.5,21,68.55
12,7.5,21,73.9
12,6.5,21,80.4
13,16.5,21,37.3
13,15.5,21,38
13,14.5,21,41.65
13,13.5,21,45.17
13,12.5,21,46.9
13,11.5,21,51.3
13,10.5,21,51.4
13,9.5,21,54.43
13,8.5,21,56.75
13,7.5,21,58.2
13,6.5,21,66.4
