x,y,z,T
2,17,21,29.5
2,16,21,30
2,15,21,30.4
2,14,21,29.9
2,13,21,30.4
2,12,21,32.6
2,11,21,33.1
2,10,21,35.3
2,9,21,34.9
2,8,21,33.5
2,7,21,34.3
3,17,21,29.3
3,16,21,29.7
3,15,21,31.9
3,14,21,32.8
3,13,21,33.1
3,12,21,33
3,11,21,33.5
3,10,21,37
3,9,21,39.4
3,8,21,39.5
3,7,21,43.6
4,17,21,29.8
4,16,21,29.6
4,15,21,30
4,14,21,30.3
4,13,21,31.3
4,12,21,32.3
4,11,21,34.1
4,10,21,38.2
4,9,21,37
4,8,21,38.9
4,7,21,42.1
5,17,21,32.4
5,16,21,31.8
5,15,21,33.7
5,14,21,47
5,13,21,63.2
5,12,21,79
5,11,21,87.5
5,10,21,85.5
5,9,21,81.1
5,8,21,71.4
5,7,21,63.5
6,17,21,31
6,16,21,31.5
6,15,21,32.3
6,14,21,34.1
6,13,21,38
6,12,21,47.1
6,11,21,53.1
6,10,21,64.5
6,9,21,64.4
6,8,21,66.1
6,7,21,63.3
7,17,21,33.3
7,16,21,34.2
7,15,21,40
7,14,21,56.3
7,13,21,66
7,12,21,78.4
7,11,21,82.3
7,10,21,83.7
7,9,21,81
7,8,21,72.7
7,7,21,63.6
8,17,21,32.2
8,16,21,64.4
8,15,21,40
8,14,21,55.2
8,13,21,80
8,12,21,84.1
8,11,21,81.8
8,10,21,75.2
8,9,21,72.7
8,8,21,69.2
8,7,21,66.6
9,17,21,31.8
9,16,21,32.5
9,15,21,31.8
9,14,21,44
9,13,21,65.4
9,12,21,70.5
9,11,21,69.9
9,10,21,60.5
9,9,21,57.3
9,8,21,56.3
9,7,21,55.5
10,17,21,31.5
10,16,21,32.1
10,15,21,32.5
10,14,21,34
10,13,21,42.5
10,12,21,42.7
10,11,21,43.5
10,10,21,43
10,9,21,40.1
10,8,21,42.1
10,7,21,45.4
11,17,21,31.5
11,16,21,31.3
11,15,21,33.2
11,14,21,32.9
11,13,21,32.1
11,12,21,33.7
11,11,21,34.3
11,10,21,35.1
11,9,21,35.1
11,8,21,36.4
11,7,21,37
12,17,21,32.5
12,16,21,33.2
12,15,21,33.1
12,14,21,33.2
12,13,21,33.5
12,12,21,34.9
12,11,21,35.6
12,10,21,35.2
12,9,21,35.4
12,8,21,35.1
12,7,21,34.2
