x,y,z,T
2.5,16,21,31.5
2.5,15,21,34
2.5,14,21,33.8
2.5,13,21,33.5
2.5,12,21,33.6
2.5,11,21,33.2
2.5,10,21,33.1
2.5,9,21,35.2
2.5,8,21,35.1
2.5,7,21,37.5
2.5,6,21,45.45
3.5,16,21,34.9
3.5,15,21,33.1
3.5,14,21,35.5
3.5,13,21,35.3
3.5,12,21,35.1
3.5,11,21,39.3
3.5,10,21,42
3.5,9,21,42.8
3.5,8,21,46.9
3.5,7,21,52.5
3.5,6,21,55.8
4.5,16,21,31.3
4.5,15,21,30.4
4.5,14,21,30.7
4.5,13,21,32.8
4.5,12,21,32.6
4.5,11,21,34.9
4.5,10,21,36
4.5,9,21,46.85
4.5,8,21,48.55
4.5,7,21,58
4.5,6,21,74
5.5,16,21,32.1
5.5,15,21,33.45
5.5,14,21,36.9
5.5,13,21,37.5
5.5,12,21,37.3
5.5,11,21,37.1
5.5,10,21,43.5
5.5,9,21,56.3
5.5,8,21,69.2
5.5,7,21,81.9
5.5,6,21,81.65
6.5,16,21,32.75
6.5,15,21,34
6.5,14,21,36.1
6.5,13,21,35.5
6.5,12,21,36.3
6.5,11,21,36.1
6.5,10,21,40.65
6.5,9,21,51.3
6.5,8,21,67
6.5,7,21,90.9
6.5,6,21,98.65
7.5,16,21,31.2
7.5,15,21,34.35
7.5,14,21,34.9
7.5,13,21,36.1
7.5,12,21,37.6
7.5,11,21,41.6
7.5,10,21,51.1
7.5,9,21,70
7.5,8,21,79.8
7.5,7,21,95.95
7.5,6,21,100.4
8.5,16,21,30.6
8.5,15,21,32.3
8.5,14,21,33.4
8.5,13,21,34.2
8.5,12,21,36.8
8.5,11,21,39.2
8.5,10,21,48.25
8.5,9,21,58.8
8.5,8,21,79.65
8.5,7,21,86.45
8.5,6,21,97.1
9.5,16,21,35.55
9.5,15,21,32.5
9.5,14,21,34.5
9.5,13,21,37.3
9.5,12,21,37
9.5,11,21,38.45
9.5,10,21,47.45
9.5,9,21,56.4
9.5,8,21,60
9.5,7,21,74
9.5,6,21,84.2
10.5,16,21,33
10.5,15,21,34.3
10.5,14,21,36.2
10.5,13,21,36.5
10.5,12,21,38.25
10.5,11,21,43
10.5,10,21,46.7
10.5,9,21,50.4
10.5,8,21,59.2
10.5,7,21,62.2
10.5,6,21,68.2
11.5,16,21,32.2
11.5,15,21,32.5
11.5,14,21,34.4
11.5,13,21,34.8
11.5,12,21,36
11.5,11,21,39.6
11.5,10,21,42.3
11.5,9,21,42.6
11.5,8,21,45.1
11.5,7,21,53.9
11.5,6,21,52.3
12.5,16,21,31
12.5,15,21,33.3
12.5,14,21,31.9
12.5,13,21,34.8
12.5,12,21,36.6
12.5,11,21,38.5
12.5,10,21,40.1
12.5,9,21,44.25
12.5,8,21,46.2
12.5,7,21,48.5
12.5,6,21,50.25
