x,y,z,T
2,17,15,27.1
2,16,15,27.3
2,15,15,27.3
2,14,15,27.2
2,13,15,27.2
2,12,15,27.2
2,11,15,27.2
2,10,15,27.3
2,9,15,26.9
2,8,15,26.9
2,7,15,27.2
3,17,15,26.8
3,16,15,26.5
3,15,15,26.5
3,14,15,26.6
3,13,15,27.1
3,12,15,27.5
3,11,15,27.5
3,10,15,28.1
3,9,15,28.6
3,8,15,29.2
3,7,15,29.5
4,17,15,26.7
4,16,15,26.5
4,15,15,26.4
4,14,15,26.2
4,13,15,26.3
4,12,15,26
4,11,15,25.7
4,10,15,26.4
4,9,15,27.1
4,8,15,27.7
4,7,15,29.5
5,17,15,26.1
5,16,15,26.1
5,15,15,26.2
5,14,15,26.4
5,13,15,26
5,12,15,26.2
5,11,15,27
5,10,15,27.8
5,9,15,27.8
5,8,15,30.2
5,7,15,31
6,17,15,26.8
6,16,15,27
6,15,15,26.8
6,14,15,27.2
6,13,15,27.9
6,12,15,27.5
6,11,15,27.1
6,10,15,27
6,9,15,27.4
6,8,15,28.5
6,7,15,30.2
7,17,15,26.2
7,16,15,25.5
7,15,15,25.6
7,14,15,26.2
7,13,15,27.1
7,12,15,27.2
7,11,15,25.3
7,10,15,25.8
7,9,15,25.7
7,8,15,28
7,7,15,29.3
8,17,15,26.3
8,16,15,26.2
8,15,15,25.8
8,14,15,25.7
8,13,15,25.6
8,12,15,25.6
8,11,15,25.9
8,10,15,26.2
8,9,15,27
8,8,15,29.4
8,7,15,29.8
9,17,15,26.5
9,16,15,26.6
9,15,15,26.5
9,14,15,26.7
9,13,15,26.8
9,12,15,27.2
9,11,15,27.5
9,10,15,26.9
9,9,15,27
9,8,15,27.9
9,7,15,28.2
10,17,15,25.8
10,16,15,26.5
10,15,15,26.9
10,14,15,26.5
10,13,15,27
10,12,15,26.9
10,11,15,27
10,10,15,27.5
10,9,15,28.5
10,8,15,29.2
10,7,15,28.5
11,17,15,26.4
11,16,15,26
11,15,15,26
11,14,15,26.6
11,13,15,26.3
11,12,15,26.6
11,11,15,26.5
11,10,15,26.6
11,9,15,26.8
11,8,15,27
11,7,15,28.6
12,17,15,28.3
12,16,15,28.2
12,15,15,28.1
12,14,15,28.1
12,13,15,27.9
12,12,15,28.6
12,11,15,28.3
12,10,15,27.9
12,9,15,28
12,8,15,28.3
12,7,15,28.8
